Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,23.6875,24.53125,23.625,24.5,6.590755000000001,7041600
1990-01-03,24.6875,24.875,24.59375,24.71875,6.649599,9464000
1990-01-04,24.75,25.09375,24.71875,25.0,6.725261,9674800
1990-01-05,24.96875,25.40625,24.875,24.9375,6.708448,7570000
1990-01-08,24.8125,25.21875,24.8125,25.09375,6.750481,4625200
1990-01-09,25.125,25.3125,24.84375,24.84375,6.683228999999999,7048000
1990-01-10,24.875,25.0,24.65625,24.75,6.658009,5945600
1990-01-11,24.875,25.09375,24.84375,24.96875,6.716855000000001,5905600
1990-01-12,24.65625,24.8125,24.40625,24.46875,6.582347,5390800
1990-01-15,24.40625,24.59375,24.3125,24.53125,6.599163000000001,4035600
1990-01-16,24.375,25.09375,24.375,25.03125,6.733667,8220400
1990-01-17,25.09375,25.21875,24.59375,24.71875,6.649599,8926000
1990-01-18,24.5,24.90625,24.40625,24.875,6.691636,6926400
1990-01-19,24.9375,24.96875,24.625,24.65625,6.632789999999999,6594800
1990-01-22,24.6875,24.78125,24.125,24.15625,6.498285,6882800
1990-01-23,24.25,24.5625,24.15625,24.1875,6.506692,5922800
1990-01-24,23.9375,24.46875,23.875,24.375,6.557131,9820400
1990-01-25,24.46875,24.46875,23.75,23.96875,6.447845,6792400
1990-01-26,24.03125,24.3125,23.78125,24.21875,6.515097,7345600
1990-01-29,24.34375,24.4375,23.875,24.3125,6.540316000000001,5153600
1990-01-30,24.34375,24.40625,23.9375,24.3125,6.540316000000001,8646800
1990-01-31,24.5,24.65625,24.40625,24.65625,6.632789999999999,8452000
1990-02-01,24.65625,24.9375,24.4375,24.4375,6.573942,6903600
1990-02-02,24.46875,24.6875,24.46875,24.59375,6.615975,6064400
1990-02-05,24.40625,24.96875,24.375,24.90625,7.046736,5299200
1990-02-06,24.90625,25.34375,24.65625,25.25,7.143994,10808000
1990-02-07,25.1875,25.9375,25.15625,25.78125,7.294300999999999,12057600
1990-02-08,25.90625,25.96875,25.46875,25.6875,7.267777000000001,7932000
1990-02-09,25.71875,25.8125,25.5,25.625,7.250093,5061600
1990-02-12,25.59375,25.59375,25.15625,25.28125,7.1528339999999995,4766400
1990-02-13,25.46875,25.8125,25.3125,25.8125,7.303142,7168400
1990-02-14,25.84375,26.0625,25.8125,25.9375,7.3385110000000005,6006800
1990-02-15,26.03125,26.15625,25.9375,25.9375,7.3385110000000005,5704000
1990-02-16,26.125,26.125,25.84375,25.875,7.320827,8805600
1990-02-20,25.65625,25.78125,25.5625,25.71875,7.276617999999999,5599600
1990-02-21,25.5625,26.28125,25.5,26.21875,7.4180839999999995,8096400
1990-02-22,26.25,26.375,25.8125,25.8125,7.303142,9185600
1990-02-23,25.6875,25.96875,25.5,25.65625,7.258935000000001,6251600
1990-02-26,25.75,26.03125,25.625,26.0,7.356191,5486000
1990-02-27,26.03125,26.375,25.90625,25.9375,7.3385110000000005,6890800
1990-02-28,25.90625,26.15625,25.78125,25.96875,7.347351,5761200
1990-03-01,25.9375,26.09375,25.84375,26.0,7.356191,4490800
1990-03-02,26.0,26.34375,26.0,26.21875,7.4180839999999995,5690000
1990-03-05,26.21875,26.46875,26.15625,26.25,7.426925,5509200
1990-03-06,26.3125,26.4375,26.0625,26.4375,7.479975,5100800
1990-03-07,26.5,26.5625,26.3125,26.375,7.462292,6158400
1990-03-08,26.5,26.84375,26.5,26.75,7.568389999999999,6947600
1990-03-09,26.75,26.84375,26.5625,26.625,7.533025,7003200
1990-03-12,26.625,26.9375,26.5625,26.9375,7.621439,6051200
1990-03-13,26.875,27.0625,26.5625,26.5625,7.515335,8300800
1990-03-14,26.71875,26.75,26.40625,26.5625,7.515335,4990800
1990-03-15,26.65625,26.84375,26.625,26.75,7.568389999999999,5328000
1990-03-16,26.9375,27.1875,26.84375,27.15625,7.683332000000001,10296400
1990-03-19,27.03125,27.28125,26.84375,27.25,7.7098580000000005,6428800
